record_id,timestamp_received,logistic_pred,svm_pred,rf_pred,final_vote,confidence_score
REC_16263,2026-05-17T11:14:16.447847,0,0,0,0,0.9941
REC_16264,2026-05-17T11:14:16.499399,0,0,0,0,0.9827
REC_16265,2026-05-17T11:14:16.548937,0,0,0,0,0.9869
REC_16266,2026-05-17T11:14:16.600280,0,0,0,0,0.9856
REC_16267,2026-05-17T11:14:16.652258,0,0,0,0,0.9942
REC_16268,2026-05-17T11:14:16.703978,0,0,0,0,0.9917
REC_16269,2026-05-17T11:14:16.753998,0,0,0,0,0.9890
REC_16270,2026-05-17T11:14:16.805273,0,0,0,0,0.9948
REC_16271,2026-05-17T11:14:16.854973,0,0,0,0,0.9914
REC_16272,2026-05-17T11:14:16.906565,0,0,0,0,0.9859
REC_16273,2026-05-17T11:14:16.956505,0,0,0,0,0.9738
REC_16274,2026-05-17T11:14:17.006845,0,0,0,0,0.9717
REC_16275,2026-05-17T11:14:17.058527,0,0,0,0,0.8790
REC_16276,2026-05-17T11:14:17.108564,0,0,0,0,0.9918
REC_16277,2026-05-17T11:14:17.159190,0,0,0,0,0.9825
REC_16278,2026-05-17T11:14:17.210026,0,0,0,0,0.9856
REC_16279,2026-05-17T11:14:17.259963,0,0,0,0,0.9613
REC_16280,2026-05-17T11:14:17.310841,0,0,0,0,0.9916
REC_16281,2026-05-17T11:14:17.361448,0,0,0,0,0.9828
REC_16282,2026-05-17T11:14:17.412241,0,0,0,0,0.9844
REC_16283,2026-05-17T11:14:17.464187,0,0,0,0,0.9556
REC_16284,2026-05-17T11:14:17.513829,0,0,0,0,0.9852
REC_16285,2026-05-17T11:14:17.565737,0,0,0,0,0.9857
REC_16286,2026-05-17T11:14:17.616277,0,0,0,0,0.9766
REC_16287,2026-05-17T11:14:17.666040,0,0,0,0,0.8593
REC_16288,2026-05-17T11:14:17.717984,0,0,0,0,0.9914
REC_16289,2026-05-17T11:14:17.767727,0,0,0,0,0.9846
REC_16290,2026-05-17T11:14:17.819121,0,0,0,0,0.9899
REC_16291,2026-05-17T11:14:17.870284,0,0,0,0,0.9902
REC_16292,2026-05-17T11:14:17.920101,0,0,0,0,0.9842
REC_16293,2026-05-17T11:14:17.970660,0,0,0,0,0.9912
REC_16294,2026-05-17T11:14:18.021870,0,0,0,0,0.9934
REC_16295,2026-05-17T11:14:18.072177,0,0,0,0,0.9948
REC_16296,2026-05-17T11:14:18.123886,0,0,0,0,0.9828
REC_16297,2026-05-17T11:14:18.173797,0,0,0,0,0.9910
REC_16298,2026-05-17T11:14:18.225653,0,0,0,0,0.9858
REC_16299,2026-05-17T11:14:18.275929,0,0,0,0,0.9953
REC_16300,2026-05-17T11:14:18.326519,0,0,0,0,0.9903
REC_16301,2026-05-17T11:14:18.378490,0,0,0,0,0.9566
